NAME,TEMP,AVG_CASE
15 States,12,13956.89922
15 States,16.78571429,13956.89922
15 States,17.21428571,13956.89922
15 States,17.85714286,13956.89922
15 States,18.21428571,13956.89922
15 States,19.07142857,13956.89922
15 States,19.57142857,13956.89922
15 States,21.57142857,13956.89922
15 States,22.07142857,13956.89922
15 States,22.38461539,13956.89922
15 States,22.57142857,13956.89922
15 States,23.57142857,13956.89922
15 States,23.71428571,13956.89922
15 States,23.84615385,13956.89922
15 States,23.92857143,13956.89922
15 States,24.21428571,13956.89922
15 States,24.23076923,13956.89922
15 States,24.64285714,13956.89922
15 States,25.42857143,13956.89922
15 States,25.53846154,13956.89922
15 States,27.14285714,13956.89922
15 States,27.75,275
15 States,27.85714286,13956.89922
15 States,28.71428571,13956.89922
15 States,28.78571429,13956.89922
15 States,29,6978.44961
15 States,29.14285714,13956.89922
15 States,29.25,805
15 States,29.57142857,13956.89922
15 States,29.84615385,13956.89922
15 States,30,13956.89922
15 States,30.07142857,13956.89922
15 States,30.42857143,13956.89922
15 States,30.5,17306
15 States,30.61538462,13956.89922
15 States,31,8162.5
15 States,31.21428571,13956.89922
15 States,31.30769231,13956.89922
15 States,31.53846154,13956.89922
15 States,31.6,2.333333333
15 States,32,6979.44961
15 States,32.21428571,13956.89922
15 States,32.30769231,13956.89922
15 States,32.35714286,13956.89922
15 States,32.71428571,13956.89922
15 States,32.75,51
15 States,32.92307692,13956.89922
15 States,33,12614
15 States,33.25,13956.89922
15 States,33.41666667,13956.89922
15 States,33.92307692,13956.89922
15 States,33.92857143,13956.89922
15 States,34.14285714,13956.89922
15 States,34.2,1194
15 States,34.25,77
15 States,34.35714286,13956.89922
15 States,34.46153846,13956.89922
15 States,34.5,15474
15 States,34.57142857,13956.89922
15 States,34.75,51
15 States,34.78571429,13956.89922
15 States,34.83333333,13956.89922
15 States,35,18739
15 States,35.07142857,13956.89922
15 States,35.21428571,13956.89922
15 States,35.25,5152
15 States,35.28571429,13956.89922
15 States,35.35714286,13956.89922
15 States,35.42857143,13956.89922
15 States,35.5,13956.89922
15 States,35.71428571,13956.89922
15 States,35.76923077,13956.89922
15 States,35.91666667,13956.89922
15 States,36,1097.5
15 States,36.15384615,13956.89922
15 States,36.2,37
15 States,36.25,411
15 States,36.38461539,13956.89922
15 States,36.46153846,13956.89922
15 States,36.5,85
15 States,36.66666667,13956.89922
15 States,36.71428571,13956.89922
15 States,36.75,19436.66667
15 States,36.78571429,13956.89922
15 States,36.85714286,13956.89922
15 States,37,13956.89922
15 States,37.23076923,13956.89922
15 States,37.5,6989.44961
15 States,37.57142857,13956.89922
15 States,37.58333333,13956.89922
15 States,37.75,23181
15 States,37.76923077,13956.89922
15 States,37.8,2256.5
15 States,37.85714286,13956.89922
15 States,37.92307692,13956.89922
15 States,38,11943.5
15 States,38.15384615,13956.89922
15 States,38.25,8841.94961
15 States,38.38461539,13956.89922
15 States,38.5,8416.69961
15 States,38.69230769,7374.94961
15 States,38.8,14.5
15 States,39,5663.29974
15 States,39.07142857,13956.89922
15 States,39.25,13956.89922
15 States,39.33333333,7439
15 States,40,32815.44961
15 States,40.07692308,13956.89922
15 States,40.08333333,13956.89922
15 States,40.16666667,13956.89922
15 States,40.21428571,13956.89922
15 States,40.30769231,13956.89922
15 States,40.38461539,13956.89922
15 States,40.5,1091
15 States,40.61538462,13956.89922
15 States,40.64285714,13956.89922
15 States,41,20678.19961
15 States,41.07142857,13956.89922
15 States,41.23076923,13956.89922
15 States,41.25,1904
15 States,41.30769231,13956.89922
15 States,41.4,2239
15 States,41.5,11919.29974
15 States,41.61538462,13956.89922
15 States,41.64285714,13956.89922
15 States,41.69230769,13956.89922
15 States,41.75,43715
15 States,41.8,27616
15 States,42.25,24546
15 States,42.4,29058
15 States,42.58333333,13956.89922
15 States,42.75,13956.89922
15 States,42.83333333,5259
15 States,43,13956.89922
15 States,43.33333333,28
15 States,43.4,7
15 States,43.46153846,13956.89922
15 States,43.5,33662
15 States,43.53846154,13956.89922
15 States,43.6,36513
15 States,43.76923077,13956.89922
15 States,43.81818182,13956.89922
15 States,43.83333333,13956.89922
15 States,44,17614.44961
15 States,44.07142857,13956.89922
15 States,44.2,30574
15 States,44.33333333,8728
15 States,44.38461539,13956.89922
15 States,44.41666667,13956.89922
15 States,44.75,13956.89922
15 States,45,30846.5
15 States,45.4,55470
15 States,45.75,3445
15 States,46,21388.5
15 States,46.14285714,13956.89922
15 States,46.38461539,13956.89922
15 States,46.5,48341
15 States,47,30677
15 States,47.2,46689
15 States,47.25,13417
15 States,48,25811
15 States,48.8,34880
15 States,49,26.5
15 States,49.25,11
15 States,49.83333333,13956.89922
15 States,50,278
15 States,50.2,19908.66667
15 States,50.46153846,13956.89922
15 States,50.58333333,13956.89922
15 States,50.7,13956.89922
15 States,51.2,2613
15 States,51.25,56406
15 States,51.69230769,13956.89922
15 States,51.8,31953
15 States,52,13956.89922
15 States,52.75,10520
15 States,53.75,9509
15 States,53.8,2847
15 States,54.2,61212
15 States,54.3,292
15 States,54.5,33449
15 States,55,42324
15 States,55.33333333,13956.89922
15 States,57.4,59905
15 States,57.6,62218
15 States,58.33333333,13816
15 States,58.4,58457
15 States,63.2,40227
